Date,Open,High,Low,Close,Volume
14/05/2019 17:36:00,"14,21","14,45","14,17","14,42",15796073
15/05/2019 17:36:00,"14,46","14,53","14,34","14,5",6795939
16/05/2019 17:36:00,"14,47","14,7","14,42","14,69",7378905
17/05/2019 17:36:00,"14,69","14,83","14,58","14,79",7442691
20/05/2019 17:36:00,"14,81","15,04","14,81","14,88",7758119
21/05/2019 17:36:00,"14,91","15,09","14,86","15,06",7648195
22/05/2019 17:36:00,"15,04","15,1","14,94","14,96",6727617
23/05/2019 17:36:00,"14,82","15,01","14,38","14,44",10710003
24/05/2019 17:36:00,"14,54","14,61","14,46","14,52",5046648
27/05/2019 17:36:00,"14,6","14,72","14,59","14,63",5332925
28/05/2019 17:36:00,"14,63","14,78","14,6","14,69",6812575
29/05/2019 17:36:00,"14,57","14,57","14,34","14,39",6336643
30/05/2019 17:36:00,"14,55","14,65","14,5","14,58",5164413
31/05/2019 17:36:00,"14,41","14,5","14,33","14,46",15328333
3/06/2019 17:36:00,"14,34","14,54","14,19","14,49",13424502
4/06/2019 17:36:00,"14,37","14,71","14,33","14,63",5890059
5/06/2019 17:36:00,"14,63","14,77","14,54","14,54",15573948
6/06/2019 17:36:00,"14,62","14,69","14,55","14,59",22498722
7/06/2019 17:36:00,"14,69","14,84","14,65","14,66",8925387
10/06/2019 17:36:00,"14,77","14,81","14,63","14,63",3612902
11/06/2019 17:36:00,"14,71","14,77","14,66","14,67",8882964
12/06/2019 17:36:00,"14,56","14,59","14,37","14,37",5203714
13/06/2019 17:36:00,"14,4","14,53","14,36","14,4",8318238
14/06/2019 17:36:00,"14,4","14,47","14,24","14,3",6682411
17/06/2019 17:36:00,"13,91","13,91","13,64","13,64",12793686
18/06/2019 17:36:00,"13,68","13,89","13,58","13,88",15307766
19/06/2019 17:36:00,"13,9","13,94","13,7","13,7",18840551
20/06/2019 17:36:00,"13,79","13,94","13,61","13,87",13791032
21/06/2019 17:36:00,"13,89","14,08","13,87","14,08",17338661
24/06/2019 17:36:00,14,"14,18","13,88","13,91",16301536
25/06/2019 17:36:00,"13,92","13,93","13,71","13,77",11804556
26/06/2019 17:36:00,"13,84","13,94","13,81","13,9",8324545
27/06/2019 17:36:00,"13,94","13,95","13,71","13,71",5230154
28/06/2019 17:36:00,"13,72","13,79","13,61","13,79",5851206
1/07/2019 17:36:00,"13,91","14,1","13,88","14,1",10412003
2/07/2019 17:36:00,"14,02","14,14","13,94","13,94",4596950
3/07/2019 17:36:00,"13,91","13,94","13,78","13,78",6998882
4/07/2019 17:36:00,"13,78","13,87","13,71","13,77",6132208
5/07/2019 17:36:00,"13,8","13,83","13,72","13,74",3717757
8/07/2019 17:36:00,"13,8","13,85","13,72","13,76",4183782
9/07/2019 17:36:00,"13,7","13,74","13,59","13,7",6763637
10/07/2019 17:36:00,"13,71","13,89","13,6","13,79",10180377
11/07/2019 17:36:00,"13,9","13,97","13,81","13,85",8810005
12/07/2019 17:36:00,"13,85",14,"13,85","13,95",7462331
15/07/2019 17:36:00,"13,95",14,"13,86","13,92",6554679
16/07/2019 17:36:00,"13,88","13,91","13,78","13,78",16487387
17/07/2019 17:36:00,"13,72","13,72","13,5","13,5",4659265
18/07/2019 17:36:00,"13,45","13,47","13,26","13,28",7134270
19/07/2019 17:36:00,"13,34","13,41","13,23","13,31",7686244
22/07/2019 17:36:00,"13,36","13,4","13,28","13,3",4728196
23/07/2019 17:36:00,"13,38","13,56","13,31","13,48",15866847
24/07/2019 17:36:00,14,"14,32","13,83","14,29",32448282
25/07/2019 17:36:00,"14,42","14,64","14,3","14,54",9656115
26/07/2019 17:36:00,"14,55","14,68","14,41","14,59",16305535
29/07/2019 17:36:00,"14,56","14,59","14,47","14,57",15149883
30/07/2019 17:36:00,"14,59","14,67","14,28","14,37",15653859
31/07/2019 17:36:00,"14,45","14,57","14,39","14,39",14594872
1/08/2019 17:36:00,"14,42","14,42","14,18","14,27",3636173
2/08/2019 17:36:00,"14,01","14,09","13,76","13,82",6627375
5/08/2019 17:36:00,"13,74","13,74","13,51","13,58",5569305
6/08/2019 17:36:00,"13,56","13,65","13,41","13,41",4819873
7/08/2019 17:36:00,"13,43","13,51","13,13","13,16",13049548
8/08/2019 17:36:00,"13,3","13,38","13,16","13,23",7055457
9/08/2019 17:36:00,"13,25","13,28","13,04","13,12",6931066
12/08/2019 17:36:00,"13,17","13,21","12,94","12,96",6919282
13/08/2019 17:36:00,"12,92","13,26","12,85","13,09",6409728
14/08/2019 17:36:00,"13,1","13,11","12,66","12,7",10325603
15/08/2019 17:36:00,"12,75","12,8","12,37","12,48",5751405
16/08/2019 17:36:00,"12,52","12,59","12,44","12,48",6267801
19/08/2019 17:36:00,"12,62","12,82","12,57","12,82",4525228
20/08/2019 17:36:00,"12,73","12,77","12,56","12,56",6881706
21/08/2019 17:36:00,"12,63","12,87","12,63","12,8",5700491
22/08/2019 17:36:00,"12,75","12,94","12,68","12,79",6467407
23/08/2019 17:36:00,"12,81","12,83","12,53","12,55",12567367
26/08/2019 17:36:00,"12,49","12,67","12,46","12,6",1917867
27/08/2019 17:36:00,"12,55","12,75","12,53","12,55",12347131
28/08/2019 17:36:00,"12,62","12,88","12,53","12,88",21470838
29/08/2019 17:36:00,"12,79","13,08","12,74","13,07",5708439
30/08/2019 17:36:00,"13,1","13,38","13,09","13,22",8635970
2/09/2019 17:36:00,"13,24","13,46","13,24","13,37",5085282
3/09/2019 17:36:00,"13,39","13,47","13,26","13,31",7990633
4/09/2019 17:36:00,"13,45","13,59","13,36","13,56",7397860
5/09/2019 17:36:00,"13,49","13,92","13,49","13,78",8994851
6/09/2019 17:36:00,"13,77","13,79","13,61","13,62",6581679
9/09/2019 17:36:00,"13,74","13,92","13,72","13,88",6587844
10/09/2019 17:36:00,"13,95","14,2","13,94","14,16",6067110
11/09/2019 17:36:00,"14,23","14,27","14,01","14,02",4875022
12/09/2019 17:36:00,"14,01","14,01","13,69","13,84",6150337
13/09/2019 17:36:00,"13,85","14,1","13,83","13,99",6733473
16/09/2019 17:36:00,"14,26","14,42","14,1","14,14",10026824
17/09/2019 17:36:00,"14,22","14,29","13,82","14,02",13383773
18/09/2019 17:36:00,"13,92","14,15","13,86","14,07",7069463
19/09/2019 17:36:00,"14,08","14,34","13,98","14,26",7256663
20/09/2019 17:36:00,"14,22","14,34","14,08","14,21",14850615
23/09/2019 17:36:00,"14,26","14,33","14,14","14,31",4590713
24/09/2019 17:36:00,"14,35","14,38","14,09","14,17",4472923
25/09/2019 17:36:00,"14,06","14,14","13,91","14,09",8125033
26/09/2019 17:36:00,"14,04","14,27","14,04","14,16",4205594
27/09/2019 17:36:00,"14,23","14,44","14,23","14,31",6592084
30/09/2019 17:36:00,"14,32","14,43","14,22","14,34",5126424
1/10/2019 17:36:00,"14,35","14,45","14,23","14,31",4678477
2/10/2019 17:36:00,"14,32","14,32","13,97","13,97",9109048
3/10/2019 17:36:00,"13,95","13,95","13,63","13,74",6147404
4/10/2019 17:36:00,"13,78","13,87","13,71","13,79",5020819
7/10/2019 17:36:00,"13,83","14,1","13,75","14,1",5864343
8/10/2019 17:36:00,"14,12","14,18","13,8","13,94",3762971
9/10/2019 17:36:00,"13,82","14,17","13,77","14,09",4715143
10/10/2019 17:36:00,"14,05","14,38","14,02","14,31",5468324
11/10/2019 17:36:00,"14,37","14,56","14,36","14,56",6208875
14/10/2019 17:36:00,"14,43","14,54","14,37","14,53",4052594
15/10/2019 17:36:00,"14,59","14,78","14,51","14,72",8816222
16/10/2019 17:36:00,"14,66","14,83","14,57","14,74",5636046
17/10/2019 17:36:00,"14,66","14,96","14,64","14,68",8908103
18/10/2019 17:36:00,"14,67","14,75","14,46","14,5",6975835
21/10/2019 17:36:00,"14,47","14,67","14,47","14,57",4950950
22/10/2019 17:36:00,"14,63","14,69","14,57","14,6",7777126
23/10/2019 17:36:00,"14,56","14,79","14,56","14,78",4078331
24/10/2019 17:36:00,"14,8",15,"14,78","14,93",4454748
25/10/2019 17:36:00,"14,93","15,04","14,89","14,99",3639909
28/10/2019 17:36:00,"15,04","15,19",15,"15,12",4449664
29/10/2019 17:36:00,"15,09","15,12","14,91","15,05",5508978
30/10/2019 17:36:00,"15,02","15,1","14,86","14,94",6910004
31/10/2019 17:36:00,"14,86","15,31","14,67","14,7",17400412
1/11/2019 17:36:00,"15,08","15,2","15,01","15,15",6869537
4/11/2019 17:36:00,"15,27","15,59","15,2","15,47",6922644
5/11/2019 17:36:00,"15,46","15,67","15,39","15,42",10035752
6/11/2019 17:36:00,"15,35","15,41","15,09","15,13",15736300
7/11/2019 17:36:00,"15,13","15,25","14,92","15,15",11897805
8/11/2019 17:36:00,"15,16","15,16","14,88","15,04",5421084
11/11/2019 17:36:00,"15,04","15,07","14,87","15,03",7725855
12/11/2019 17:36:00,"15,1","15,19","14,94","15,02",4518505
13/11/2019 17:36:00,"14,88","14,91","14,63","14,72",8384914
14/11/2019 17:36:00,"14,67","14,78","14,6","14,6",5301849
15/11/2019 17:36:00,"14,69","14,77","14,56","14,69",5231570
18/11/2019 17:36:00,"14,68","14,79","14,58","14,63",4590942
19/11/2019 17:36:00,"14,62","14,76","14,56","14,62",4315984
20/11/2019 17:36:00,"14,55","14,59","14,38","14,55",4468139
21/11/2019 17:36:00,"14,46","14,51","14,37","14,45",5297755
22/11/2019 17:36:00,"14,47","14,7","14,47","14,6",5348788
25/11/2019 17:36:00,"14,7","14,75","14,64","14,68",3487490
26/11/2019 17:36:00,"14,69","14,69","14,55","14,59",15432390
27/11/2019 17:36:00,"14,67","14,67","14,47","14,5",4315801
28/11/2019 17:36:00,"14,49","14,53","14,39","14,41",4333479
29/11/2019 17:36:00,"14,36","14,44","14,25","14,29",4250601
2/12/2019 17:36:00,"14,31","14,42","14,08","14,15",6236249
3/12/2019 17:36:00,"14,1","14,13","13,98","14,1",7684944
4/12/2019 17:36:00,"14,09","14,39","14,09","14,35",12602100
5/12/2019 17:36:00,"14,41","14,5","14,33","14,34",8464034
6/12/2019 17:36:00,"14,39","14,69","14,35","14,64",5720010
9/12/2019 17:36:00,"14,66","14,67","14,43","14,46",5006379
10/12/2019 17:36:00,"14,41","14,44","14,23","14,35",5181399
11/12/2019 17:36:00,"14,41","14,47","14,35","14,35",5257987
12/12/2019 17:36:00,"14,39","14,44","14,18","14,38",8125332
13/12/2019 17:36:00,"14,5","14,54","14,29","14,33",7409070
16/12/2019 17:36:00,"14,44","14,47","14,35","14,4",7962371
17/12/2019 17:36:00,"14,06","14,13","13,96","13,96",6986347
18/12/2019 17:36:00,"13,96","14,12","13,95","13,98",9080059
19/12/2019 17:36:00,"13,97",14,"13,91","13,98",6377030
20/12/2019 17:36:00,"13,96","14,1","13,96","14,09",25724495
23/12/2019 17:36:00,"14,04","14,15","14,02","14,15",3908790
24/12/2019 14:00:00,"14,16","14,16","14,04","14,16",1262746
27/12/2019 17:36:00,"14,16","14,27","14,13","14,2",2949913
30/12/2019 17:36:00,"14,18","14,2","14,13","14,13",2012826
31/12/2019 14:00:00,"14,1","14,1","13,93","13,93",2221149
2/01/2020 17:36:00,"14,03","14,14","13,98","14,07",5576733
3/01/2020 17:36:00,"14,11","14,28","14,06","14,24",4769535
6/01/2020 17:36:00,"14,26","14,48","14,26","14,35",3960659
7/01/2020 17:36:00,"14,37","14,42","14,23","14,23",6809406
8/01/2020 17:36:00,"14,23","14,38","14,16","14,36",4661762
9/01/2020 17:36:00,"14,4","14,41","14,16","14,17",9326800
10/01/2020 17:36:00,"14,25","14,41","14,14","14,32",4077822
13/01/2020 17:36:00,"14,35","14,35","14,14","14,25",9160802
14/01/2020 17:36:00,"14,25","14,28","14,18","14,24",5799009
15/01/2020 17:36:00,"14,22","14,24","14,05","14,1",4016320
16/01/2020 17:36:00,"14,09","14,27","14,08","14,15",4264590
17/01/2020 17:36:00,"14,2","14,24","14,02","14,04",4323080
20/01/2020 17:36:00,"14,07","14,08","13,87","13,92",7740315
21/01/2020 17:36:00,"13,86","13,86","13,72","13,78",20149802
22/01/2020 17:36:00,"13,8","13,81","13,6","13,6",8705875
23/01/2020 17:36:00,"13,5","13,5","13,05","13,13",11851595
24/01/2020 17:36:00,"13,13","13,23","13,09","13,1",7410029
27/01/2020 17:36:00,"12,94","12,94","12,65","12,65",8906675
28/01/2020 17:36:00,"12,71","12,82","12,59","12,77",10668180
29/01/2020 17:36:00,"12,89","12,92","12,7","12,8",15454614
30/01/2020 17:36:00,"12,68","12,74","12,54","12,58",10235930
31/01/2020 17:36:00,"12,68","12,68","12,41","12,47",7611213
3/02/2020 17:36:00,"12,47","12,48","12,29","12,29",10596894
4/02/2020 17:36:00,"12,38","12,6","12,35","12,58",8288812
5/02/2020 17:36:00,"12,55","12,93","12,49","12,8",14104207
6/02/2020 17:36:00,"12,93","12,97","12,75","12,83",22068690
